State,city,cityClicks,cityApplies,jobPostings,populationTotal,popInLaborForce,unemployedPop,appliesPerClick,clicksPerPosting,jobsPerUnemployed,unemploymentRate,Prediction,Residual
AK,ALLAKAKET,4659,755,8,1424,800,264,0.1620519424769264,582.375,0.030303030303030304,0.33,2310.8857681024697,2348.1142318975303
AK,ANCHORAGE,44698,7539,66,16240752,9365664,504570,0.1686652646650857,677.2424242424242,1.3080444735120994e-4,0.053874450332619235,42906.72699580167,1791.273004198331
AK,BETHEL,83808,13692,96,461200,238424,17184,0.16337342497136312,873,0.00558659217877095,0.07207328121330067,63063.956249294584,20744.043750705416
AK,CHUGIAK,4939,847,9,86859,48213,2898,0.1714922048997773,548.7777777777778,0.003105590062111801,0.060108269553854766,2749.401849078246,2189.598150921754
AK,CRAIG,8708,1440,28,106610,54964,2541,0.16536518144235185,311,0.011019283746556474,0.04623025980641875,15986.620277033748,-7278.620277033749
AK,DILLINGHAM,4367,715,6,14802,7374,378,0.163727959697733,727.8333333333334,0.015873015873015872,0.05126118795768918,788.6578495551694,3578.3421504448306
AK,FAIRBANKS,16034,2628,36,1171674,681372,48672,0.1639017088686541,445.3888888888889,7.396449704142012e-4,0.07143234532678185,21495.45374025443,-5461.453740254432
AK,FOX,6451,1060,15,11760,4815,765,0.1643156099829484,430.06666666666666,0.0196078431372549,0.1588785046728972,7059.561896046947,-608.5618960469474
AK,HAINES,8030,1408,20,37170,19170,890,0.17534246575342466,401.5,0.02247191011235955,0.046426708398539386,10550.756115478489,-2520.756115478488
AK,HOMER,52104,9352,128,595808,278144,22272,0.1794871794871795,407.0625,0.005747126436781609,0.0800736309249885,85241.25673937605,-33137.25673937606
AK,JBER,5273,958,6,80004,45336,540,0.1816802579176939,878.8333333333334,0.011111111111111112,0.011911064055055586,743.7250896844735,4529.2749103155265
AK,JUNEAU,19420,3150,30,523110,296850,13065,0.16220391349124613,647.3333333333334,0.002296211251435132,0.04401212733703891,17304.07450244146,2115.9254975585395
AK,KAKTOVIK,10816,2088,8,1328,664,112,0.1930473372781065,1352,0.07142857142857142,0.1686746987951807,2700.6753951868977,8115.324604813102
AK,KETCHIKAN,8716,1486,12,164940,91200,6156,0.17049105094079853,726.3333333333334,0.001949317738791423,0.0675,4821.282650417252,3894.717349582748
AK,KODIAK,11702,2007,12,157620,93576,2484,0.17150914373611348,975.1666666666666,0.004830917874396135,0.02654526801744037,4843.503784550101,6858.496215449899
AK,KOTZEBUE,8117,1394,10,33790,17060,2110,0.17173832696809166,811.7,0.004739336492890996,0.12368112543962485,3456.571306302503,4660.428693697497
AK,LOWER KALSKAG,3723,631,6,1680,684,222,0.16948697287134032,620.5,0.02702702702702703,0.32456140350877194,894.2164568840271,2828.783543115973
AK,MANOKOTAK,3937,756,10,7870,3480,390,0.1920243840487681,393.7,0.02564102564102564,0.11206896551724138,3652.394304431708,284.60569556829216
AK,NOME,27366,4746,39,66326,34606,2691,0.17342688007016005,701.6923076923077,0.014492753623188406,0.0777610818933133,23640.260275969595,3725.739724030406
AK,NOORVIK,12295,2015,14,8470,3332,1092,0.16388775925172835,878.2142857142857,0.01282051282051282,0.3277310924369748,6302.879086355106,5992.120913644894
AK,NORTH POLE,13831,2278,14,329546,185192,16618,0.16470247993637482,987.9285714285714,8.424599831508003e-4,0.08973389779256123,6210.87661669305,7620.12338330695
AK,PALMER,52758,8685,126,643216,321398,22540,0.16461958375980895,418.7142857142857,0.0055900621118012426,0.07013111469268633,83854.5959207523,-31096.59592075229
AK,SAND POINT,11069,1857,14,17738,12040,630,0.1677658325051947,790.6428571428571,0.022222222222222223,0.05232558139534884,6391.394831245999,4677.605168754001
AK,SEWARD,19360,3300,32,120664,63624,2792,0.17045454545454544,605,0.011461318051575931,0.04388281151766629,18762.249123218404,597.7508767815943
AK,SITKA,13610,2286,18,91710,49059,2088,0.16796473181484203,756.1111111111111,0.008620689655172414,0.04256099798202165,9035.524214712568,4574.475785287431
AK,SKAGWAY,4803,813,10,10140,7490,440,0.16926920674578388,480.3,0.022727272727272728,0.05874499332443257,3624.832177493182,1178.1678225068183
AK,SOLDOTNA,6248,1001,13,197067,94484,8203,0.1602112676056338,480.61538461538464,0.001584786053882726,0.0868189323059989,5513.443899396216,734.556100603784
AK,UNALASKA,10430,1744,14,62328,46704,280,0.16720997123681688,745,0.05,0.005995203836930456,6654.329893926566,3775.670106073434
AK,WASILLA,12300,2140,27,1590003,762966,72225,0.17398373983739837,455.55555555555554,3.7383177570093456e-4,0.09466345813574917,15289.785194390062,-2989.785194390062
AL,ABBEVILLE,26155,4270,30,317790,134274,11334,0.16325750334544065,871.8333333333334,0.0026469031233456856,0.0844094910407078,17304.993369198357,8850.006630801643
AL,ADAMSVILLE,37904,6528,72,275220,119034,10944,0.1722245673279865,526.4444444444445,0.006578947368421052,0.09194011794949342,46438.16298239776,-8534.16298239776
AL,ALABASTER,9651,1684,15,399450,197655,8070,0.17448969018754534,643.4,0.0018587360594795538,0.04082871670334674,6901.400872131375,2749.5991278686247
AL,ALBERTVILLE,27552,4710,36,807192,368730,17118,0.17094947735191637,765.3333333333334,0.002103049421661409,0.04642421283866244,21464.51000550597,6087.489994494029
AL,ALEXANDER CITY,7268,1223,11,229086,91916,8283,0.1682718767198679,660.7272727272727,0.0013280212483399733,0.09011488750598372,4125.576205050953,3142.423794949047
AL,ANDALUSIA,11982,2132,22,236027,107635,8140,0.17793356701719246,544.6363636363636,0.002702702702702703,0.07562595809913132,11758.905620967957,223.0943790320442
AL,ANNISTON,27190,4922,40,1019840,449780,57340,0.18102243471864657,679.75,6.975933031042902e-4,0.12748454800124506,24278.19503214702,2911.8049678529806
AL,ARAB,7008,1213,10,159970,71240,5220,0.173087899543379,700.8,0.0019157088122605363,0.07327344188658057,3434.1185223992707,3573.8814776007293
